Date,Open,High,Low,Close,Adj Close,Volume
2024-11-21,175.46,175.58,165.31,169.24,168.86,38839400
2024-11-20,178.83,179.11,175.33,177.33,176.93,15729800
2024-11-19,175.24,180.17,175.12,179.58,179.17,15392900
2024-11-18,174.96,176.91,174.42,176.80,176.40,18725400
2024-11-15,175.64,175.88,172.74,173.89,173.50,21708900
2024-11-14,179.75,180.45,176.03,177.35,176.95,17925800
2024-11-13,182.15,182.62,180.12,180.49,180.08,13969700
2024-11-12,181.38,184.02,180.99,183.32,182.90,14065800
2024-11-11,180.07,182.09,179.99,181.97,181.56,12503400
2024-11-08,182.00,182.35,179.57,179.86,179.45,15021500
2024-11-07,179.11,182.58,178.89,182.28,181.87,16730400
2024-11-06,175.35,178.64,175.04,178.33,177.93,27061500
2024-11-05,170.83,172.10,170.37,171.41,171.02,12518300
2024-11-04,171.24,171.92,169.49,170.68,170.29,16194000
2024-11-01,171.54,173.82,170.31,172.65,172.26,21752900
2024-10-31,174.72,178.42,172.56,172.69,172.30,32801900
2024-10-30,182.41,183.79,175.74,176.14,175.74,49698300
2024-10-29,169.38,171.86,168.66,171.14,170.75,28916100
2024-10-28,170.59,170.61,165.79,168.34,167.96,20858300
2024-10-25,165.37,167.40,165.23,166.99,166.61,14566400
2024-10-24,164.59,165.05,162.77,164.53,164.16,12764400
2024-10-23,166.43,167.60,163.63,164.48,164.11,12754300
2024-10-22,164.70,167.47,164.67,166.82,166.44,11958600
2024-10-21,164.58,166.22,164.30,165.80,165.42,11384000
2024-10-18,164.87,166.37,164.75,165.05,164.68,13091300
2024-10-17,167.38,167.93,164.37,164.51,164.14,15113400
2024-10-16,166.03,167.28,165.22,166.74,166.36,9968500
2024-10-15,167.14,169.09,166.05,166.90,166.52,14829300
2024-10-14,164.91,167.62,164.78,166.35,165.97,9981800
2024-10-11,163.33,165.27,162.50,164.52,164.15,10946000
2024-10-10,162.11,164.31,161.64,163.18,162.81,12900500
2024-10-09,164.85,166.26,161.12,163.06,162.69,19666400
2024-10-08,165.43,166.10,164.31,165.70,165.32,11723900
2024-10-07,169.14,169.90,164.13,164.39,164.02,14034700
2024-10-04,169.34,169.55,166.96,168.56,168.18,11422100
2024-10-03,165.82,167.91,165.37,167.21,166.83,11004300
2024-10-02,167.76,168.88,166.25,167.31,166.93,12745000
2024-10-01,168.86,170.44,165.90,168.42,168.04,18629500
2024-09-30,164.78,167.36,164.64,167.19,166.81,14070100
2024-09-27,163.91,166.97,163.83,165.29,164.91,13604300
2024-09-26,165.03,165.50,163.50,163.83,163.46,18234500
2024-09-25,162.97,164.22,162.77,162.99,162.62,13607900
2024-09-24,164.25,164.55,162.03,163.64,163.27,18774100
2024-09-23,165.34,166.61,162.95,163.07,162.70,15648400
2024-09-20,164.52,164.75,163.18,164.64,164.27,46362700
2024-09-19,164.82,164.99,162.52,163.24,162.87,17548200
2024-09-18,160.85,161.63,159.66,160.81,160.44,16756500
2024-09-17,160.09,161.59,159.41,160.28,159.92,12064800
2024-09-16,158.33,159.24,157.61,158.99,158.63,14157600
2024-09-13,156.36,159.27,156.11,158.37,158.01,16733900
